%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                               
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                  
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                    
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%   %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                      
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%      %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                        
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%        %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                          
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%            %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                             
%%%%%%%%%%%%%%%%%%%%%%%%%%%%               %%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                                               
%%%%%%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%%%%%%%%%%%%%                                                                                  
%%%%%%%%%%%%%%%%%%%%%                       %%%%%%%%%%%%%%%%%%%%%%%                                                                                    
  %%%%%%%%%%%%%%%                            %%%%%%%%%%%%%%%%%%%                                                                                       
        %                                        %%%%%%%%%                                                                                             
                                                                                                                                                       
                                                                                                                                                       
                                                                                                                                                       
                                                                                                                                                       
                                                                                                                                                       
                                                                                                                             %%%%%%                    
                                                                                                             %%%%         %%%%%%%%%%                   
                                                                                                          %%%%%%%%       %%%%%%%%%%%                   
                                                                                                       %%%%%%%%%%%     %%%%%%%%%%%%%                   
                                                                                                     %%%%%%%%%%%%     %%%%%%%%%%%%%                    
                                                                                                    %%%%%%%%%%%%     %%%%%%%%%%%%%%                    
                                                                                                  %%%%%%%%%%%%      %%%%%%%%%%%%%%                     
                                                                                                %%%%%%%%%%%%%      %%%%%%%%%%%%%%                      
                                                                                              %%%%%%%%%%%%% ..... %%%%%%%%%%%%%%%                      
                                                                                           %%%%%%%%%%%%%%%......%%%%%%%%%%%%%%%%%                      
                                                                                         %%%%%%%%%%%%%%%.......%%%%%%%%%%%%%%%%%                       
                                                                                       %%%%%%%%%%%%%%%.......%%%%%%%%%%%%%%%%%%                        
                                                                                    %%%%%%%%%%%%%%%% .......%%%%%%%%%%%%%%%%%%%                        
                                                                                  %%%%%%%%%%%%%%%% %%....%%%%%%%%%%%%%%%%%%%%%%                        
                                                                               %%%%%%%%%%%%%%%%% %%%..%%%%%%%%%%%%%%%%%%%%%%%%                         
                                                                            %%%%%%%%%%%%%%%%%  %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                          
                                                                          %%%%%%%%%%%%%%%%% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                           
                                                                        %%%%%%%%%%%%%%%%% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                            
                                                                    %%%%%%%%%%%%%%%%%% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                             
                                                                  %%%%%%%%%%%%%%%%%% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                             
                                                               %%%%%%%%%%%%%%%%%  %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                              
                                                            %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                              
P                                                         %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                
                                                        %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                  
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
                                 %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                          
                               %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                            
                               %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%                                                               
                             %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%  %%%%%%%%%%%%%%%%                                                                 
                             %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%    %%%%%%%%%%%%%%%%                                                                    
                            %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%     %%%%%%%%%%%%%%%                                                                       
                            %%%%%%%%%%%%%%%%%%%%%%%%%%%%      %%%%%%%%%%%%%%%                                                                          
                           %%%%%%%%%%%%%%%%%%%%%%%%%%%      %%%%%%%%%%%%%%%                                                                            
                          %%%%%%%%%%%%%%%%%%%%%%%%.      %%%%%%%%%%%%%%%                                                                               
                         %%%%%%%%%%%%%%%%%%%%%%..      %%%%%%%%%%%%%%                                                                                  
                         %%%%%%%%%%%%%%%%%%%%...     %%%%%%%%%%%%%%                                                                                    
                        %%%%%%%%%%%%%%%%%%%...     %%%%%%%%%%%%%%                                                                                      
                       %%%%%%%%%%%%%%%%%%...     %%%%%%%%%%%%%                               %%%%%%%%%                                        %        
                       %%%%%%%%%%%%%%%%%.      %%%%%%%%%%%%                            %%%%%%%%%%%%%%%%%%%                            %%%%%%%%%%%%%%%  
                      %%%%%%%%%%%%%%%%       %%%%%%%%%%%%%                          %%%%%%%%%%%%%%%%%%%%%%%                       %%%%%%%%%%%%%%%%%%%%%
                      %%%%%%%%%%%%%%%       %%%%%%%%%%%%                          %%%%%%%%%%%%%%%%%%%%%%%%%                    %%%%%%%%%%%%%%%%%%%%%%%%
                     %%%%%%%%%%%%%%%      %%%%%%%%%%%%                         %%%%%%%%%%%%%%%%%%%%%%%%%%%%%               %%%%%%%%%%%%%%%%%%%%%%%%%%%%
                     %%%%%%%%%%%%%%      %%%%%%%%%%%                         %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%            %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
                    %%%%%%%%%%%%%%      %%%%%%%%%%                        %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%        %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
                    %%%%%%%%%%%%       %%%%%%%%                         %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%      %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
